id;palabra1;palabra2;palabra3;respuesta
1;Casa;Pan;Perro;Caliente
2;Sol;Luna;Estrella;Cielo
3;Mesa;Silla;Cama;Madera
4;Agua;Fuego;Tierra;Elemento
5;Mano;Ojo;Pie;Cuerpo
6;Libro;Revista;Diario;Leer
7;Carro;Bicicleta;Moto;Rueda
8;Rojo;Azul;Verde;Color
9;Oro;Plata;Bronce;Metal
10;Frío;Calor;Templado;Temperatura
11;Doctor;Enfermera;Hospital;Salud
12;Perro;Gato;Conejo;Animal
13;Leche;Queso;Yogur;Lácteo
14;Avión;Barco;Tren;Transporte
15;Computador;Tablet;Celular;Tecnología
16;Fútbol;Tenis;Baloncesto;Deporte
17;Lunes;Martes;Miércoles;Semana
18;Enero;Febrero;Marzo;Mes
19;Camisa;Pantalón;Zapato;Ropa
20;Vino;Cerveza;Licor;Alcohol
21;Mar;Río;Lago;Agua
22;Montaña;Valle;Colina;Relieve
23;Lápiz;Bolígrafo;Marcador;Escribir
24;Ventana;Puerta;Techo;Casa
25;Niño;Adulto;Anciano;Edad
26;Feliz;Triste;Enojado;Emoción
27;Rápido;Lento;Veloz;Velocidad
28;Grande;Pequeño;Mediano;Tamaño
29;Arriba;Abajo;Lado;Posición
30;Mañana;Tarde;Noche;Tiempo
31;Dulce;Salado;Amargo;Sabor
32;Blanco;Negro;Gris;Color
33;Fruta;Verdura;Cereal;Alimento
34;Pollo;Res;Cerdo;Carne
35;Doctor;Paciente;Medicina;Hospital
36;Escuela;Colegio;Universidad;Educación
37;Profesor;Alumno;Clase;Enseñanza
38;Playa;Arena;Mar;Vacaciones
39;Ciudad;Pueblo;Barrio;Urbanismo
40;Familia;Padre;Madre;Hogar
41;Hermano;Primo;Tío;Pariente
42;Amigo;Compañero;Vecino;Relación
43;Trabajo;Empleo;Oficio;Labor
44;Dinero;Billete;Moneda;Economía
45;Banco;Crédito;Ahorro;Finanzas
46;Ley;Norma;Regla;Orden
47;Policía;Juez;Abogado;Justicia
48;Guerra;Paz;Conflicto;Historia
49;Arte;Música;Pintura;Cultura
50;Cine;Teatro;Televisión;Entretenimiento
51;Internet;Red;Web;Conexión
52;Programa;Software;Código;Computación
53;Virus;Bacteria;Germen;Microbio
54;Oxígeno;Hidrógeno;Carbono;Elemento
55;Planeta;Estrella;Galaxia;Universo
56;Energía;Fuerza;Potencia;Física
57;Número;Letra;Símbolo;Signo
58;Suma;Resta;Multiplicación;Operación
59;Triángulo;Cuadrado;Círculo;Figura
60;Metro;Litro;Kilo;Medida
61;Caminar;Correr;Saltar;Mover
62;Ver;Oír;Oler;Sentido
63;Comer;Beber;Dormir;Vivir
64;Pensar;Imaginar;Recordar;Mente
65;Hablar;Decir;Expresar;Comunicar
66;Reír;Llorar;Gritar;Expresar
67;Abrir;Cerrar;Bloquear;Acceso
68;Subir;Bajar;Caer;Movimiento
69;Entrar;Salir;Regresar;Acción
70;Crear;Destruir;Construir;Hacer
71;Inicio;Proceso;Final;Etapa
72;Antes;Durante;Después;Tiempo
73;Causa;Efecto;Resultado;Consecuencia
74;Problema;Solución;Respuesta;Resolver
75;Idea;Concepto;Teoría;Pensamiento
76;Verdad;Mentira;Realidad;Hecho
77;Seguro;Riesgo;Peligro;Seguridad
78;Luz;Oscuridad;Sombra;Iluminación
79;Ruido;Silencio;Sonido;Audio
80;Calor;Frío;Energía;Temperatura